average_salary,Location
136600.0,Murfreesboro Tennessee
136305.372,"Geneva, Switzerland"
136000.0,"Ventura County, CA"
136000.0,"Piketon, Ohio, USA"
135849.5,Cherry Hill NJ
135600.0,Bay Area
135600.0,"Anaheim, California, USA"
135500.0,stowe vt
135500.0,Kirkland/WA/USA
135500.0,Fresno CA USA
135333.333333333,"San Mateo, California, USA"
135000.0,Snohomish
135000.0,North Canton Ohio USA
135000.0,Large East Coast City
135000.0,Honolulu/HI/Honolulu
135000.0,DTS / MD / USA
135000.0,"Burleson, TX USA"
135000.0,Austin to
135000.0,Angola
135000.0,"A City, Wyoming, USA"
134608.8,"Los Alamos, NM USA"
134500.0,LA/CA/USA
134400.0,"Yellowknife, Northwest Territories, Canada"
134250.0,"Chantilly, Virginia, USA"
134000.0,"Hatboro, PA, US"
134000.0,"Fairview, TX, USA"
134000.0,Bedford
133500.0,Dallas ft worth
133000.0,"RTP, NC USA"
133000.0,Kane county/Illinois/USA
132000.0,Duluth/Georgia/USA
132000.0,"Avondale, AZ"
131666.666666667,"Watsonville, CA"
131500.0,"Aurora, Illinois"
131000.0,Caribbean
130543.155963303,"Detroit, Michigan, USA"
130333.333333333,Stockton CA. Usa
130066.666666667,"South San Francisco, CA, USA"
130000.0,Topeka
130000.0,Southeast Florida
130000.0,"San Ramon, California"
130000.0,"Remote (company based near Phila, PA)"
130000.0,NY city
130000.0,"Modesto, CA"
130000.0,"Klamath Falls, Oregon, USA"
130000.0,"Kent, Washington"
130000.0,Dublin CA USA
129560.0,Medford OR
129539.84,"Palo Alto, CA, USA"
129000.0,"San Pablo, California, United States of America"
128000.0,"Oak Ridge, TN, USA"
128000.0,"Fond du Lac, WI"
127600.0,"Baltimore/DC metro area, US"
127172.5,"Long Beach, CA"
127000.0,"Quakertown, PA"
127000.0,"Millbrae, CA, USA"
127000.0,"Hanover, NH, USA"
127000.0,"Draper, UT"
127000.0,"Chevy Chase, Maryland, USA"
127000.0,Anadarko/Oklahoma/United States
126833.333333333,"Tuscaloosa, AL"
126500.0,"Riverside County, CA, USA"
126100.0,"Redmon, WA, USA"
